РАССКАЗЧИК	Давным-давно, в какой-то провинции, жили дедушка и бабушка. Пенсия у них была маленькая, поэтому они должны были работать: дедушка собирал хворост, а бабушка стирала бельё.
ДЕДУШКА	Ох-хо-хо! Спину-то как ломит.
БАБУШКА	Полежи, отдохни, что ли. Хворост никуда не убежит.
ДЕДУШКА	Нельзя отдыхать. Пенсию задерживают, а по счетам платить надо!
БАБУШКА	Как-нибудь образуется.
ДЕДУШКА	Ох-хо-хо! Топор-то где лежит?
БАБУШКА	Да всё там же.
ДЕДУШКА	Где?
БАБУШКА	Где вчера оставил.
ДЕДУШКА	Не вижу!
БАБУШКА	Да вот там!
ДЕДУШКА	А! Вот он. Ну, я пошёл.
БАБУШКА	Возвращайся поскорей!
