Гаррис	Я не имею возможности больше ждать князя Потемкина.
Орлов	Государь мой Алексей Григорьевич, как это хорошо, что я вас встретил. Ведь у меня к вам поручение. От кого, не догадываетесь?
Алеша	От князя Орлова. Он больше не сердится на меня?
Орлов	А разве была причина?
Алеша	Господин Бецкой нажаловался ему и императрице, что я ничего не учусь и плохо веду себя, и даже подрался. Через это я, наверное, и вызван сюда.
Орлов	Жаль, ушло наше время, мы бы вам помогли… Скоро приедет мой Алексаша из Англии. Пожаловали бы и вы к нам.
Алеша	Государыня не разрешает мне одному никуда ездить. Не раз сердилась она на Бецкого, зачем отпускает меня с визитами. Даже к нему самому на обед не могу я являться без Рибаса, ибо считается, что без наставника могу наделать глупости по своей молодости и ребячливости.
Орлов	А я так надеялся , что приедете. Вы уже переехали на новую квартиру?
Алеша	Пока еще нет. Ее величество изволили подарить мне две тысячи рублей на мебели. Только что меблирует комнаты, я тут же и перееду.
Орлов	Наставник ваш Рибас не обижает вас? В Италии служил под моим началом. Прохвост, каких свет не видывал, и нечист на руку. Матросы его не любили, а я ему все прощал ради его смелости.
Алеша	Наши кадеты его тоже не жалует. Иногда он бывает пьян как свинья.
Орлов	Это ничего, что пьет. Худо, что, проигрывая , денег не отдает. А вы сами-то как? В карты играете?
Алеша	В карты люблю играть в рокамболь. Не могу отказаться также от бильярда и от лото. Однако всегда проигрываю, из-за моего горячего нрава, наверное. Но более моего мои деньги проигрывает Рибас.
Орлов	Зачем же вы ему позволяете?
Алеша	Деньги, какие передают ему для меня, он удерживает у себя и выдает мне лишь на расходы, так что я никак не могу ему запретить.
Орлов	Как же ее величество не разоблачит мошенника!
Алеша	Рибас заставляет меня отчеты писать для императрицы, куда принуждает вписывать и его проигрыши, объясняя это тем, что он для меня играл…
Орлов	И вы не пожалуетесь на него!
Алеша	Хотел, но сейчас он сам, кажется, хочет просить об отставке.
Орлов	Братом мне велено переговорить с вами. Я не умею ходить вокруг да около, оттого и начну прямо. Вы собираетесь жениться?
