ВОЕВОДА	За что, государь? Я тебе столько лет верой и правдой!..
ЦАРЬ	В тюрьму его, в тюрьму!.Ну как, доволен? Освобождайте трон.
ИВАН	Вот когда все остальное исполнив, когда Марьюшка проснется, тогда и освободим.
ЦАРЬ	Все, все исполню. Прямо сейчас пойду приказы отдавать.
МАРЬЯ	Не верь царю, Иванушка!
ИВАН	Ты уже проснулась, Марьюшка?
МАРЬЯ	Не спала я и все слышала. Не сдержит царь своего слова, не выполнит.
ИВАН	Как же. Он самого воеводу велел в тюрьму отвести.
МАРЬЯ	Хитрит царь. Ворон ворону глаз не выклюет.
ИВАН	Эх, Марьюшка! Мы с тобой давече тоже схитрили. Перед царем с воеводой. Я тебя своей невестой назвал, а ты меня своим женихом. Только я!.. Я!..И сказать-то не смею.
МАРЬЯ	Говори,Иванушка.
ИВАН	Люба ты мне,Марьюшка!
МАРЬЯ	Я тебя тоже полюбила, Иванушка!
ИВАН	Так пойдем домой! Друзей созовем, свадьбу сыграем!
МАРЬЯ	Рано, Иванушка. Пока жив колдун, не видать нам счастья.
ИВАН	Во! Глянь ка, воробей! В форточку влетел и сидит. Улетел. Уронил что то. Пойду посмотрю.
МАРЬЯ	Посмотри назад, Иванушка.
ИВАН	Гляди ка, сережку выронил.
МАРЬЯ	Беда, Иванушка! Беда с моей бабушкой! Её это сережки. Она сигнал подает!.
ИВАН	Опять прилетел.
