ДУХ ВИКТОРСА	Триста процентов!
ДУША ГУБЕРНАТОРА	Гляди-ка. Мы на рубле-то молитвы не пишем.
ГУБЕРНАТОР	Это самое!
ПЕРЕВОДЧИЦА	Неправильно.
ПОЛИЦМЕЙСТЕР	Неправильно.
ДУША КОВАЛЕВА	А можно мы?
ДУША ГУБЕРНАТОРА	Храбрая какая!
ДУША КОВАЛЕВА	У моего Павла Ивановича мысль по всему мозгу гнездится.
ГУБЕРНАТОР	Ну, кто? Никанор?
ПОЛИЦМЕЙСТЕР	Никак нет, ваше превосходительство, в уголовном кодексе этой статьи нет.
ГУБЕРНАТОР	Полуплюев? Он здесь?
ПОЛУПЛЮЕВ	Здесь, ваше превосходительство… Не могу-с, ваше превосходительство, мозг еще не оформлен…
ГУБЕРНАТОР	Ну а этот самый?
ДУША ГУБЕРНАТОРА	Ну, пусть попробует.
ДУША КОВАЛЕВА	Ну, Павел Иванович!
ПЕРЕВОДЧИЦА	Господин Ковалев?
КОВАЛЕВ	Ваше превосходительство! Господа! Для меня честь… Если вы мне позволите…Богатырь в русском языке - это лицо высокого ранга и имеет в наличии одну голову в одном экземпляре, а значит, один экземпляр собственной мысли… А змей - это аллегория о трех головах, а значит, у него наличествует сразу три мысли противоположного пола, что ведет к головному разброду и праздным шатаниям… Поэтому, ваше превосходительство, единоначалие высокого ранга в любом императорском учреждении поголовно побеждает любое множество неупорядоченных мыслей низших чинов.
ДУША ГУБЕРНАТОРА	Правильно!
ГУБЕРНАТОР	Вот именно!
ПЕРЕВОДЧИЦА	Правильно!
