БРЕХОВ	Дурдом! Карету мне, карету!
ЛИЗА	Сергей, постой!
ЮРИЙ	Правильно, беги отсюда, раб! Знаешь, почему тебя так легко за лакея приняли, да потому, что у тебя душонка лакейская! Беги, беги отсюда!
ФЁДОР НИКОЛАЕВИЧ	Да я тебя!
ПЕТР НИКОЛАЕВИЧ	Федор, успокойся! Уже ничего не изменишь, он будет наказан, перестань!
ФЁДОР НИКОЛАЕВИЧ	Уйди с моей дороги, дурак, я сам разберусь с этим мальчишкой!
ПЕТР НИКОЛАЕВИЧ	Я не позволю!
ФЁДОР НИКОЛАЕВИЧ	Да как ты смеешь…
КРЕМНЕВА	Перестаньте оба! Я должна услышать то, что Юрий хочет сказать!
ФЁДОР НИКОЛАЕВИЧ	Все пропало…
КРЕМНЕВА	Кто же на самом деле этот Сергей, Юрий?
ЮРИЙ	Сергей Никонович Брехов - никакой не лакей, Катерина Ивановна. Он граф.
КРЕМНЕВА	Граф?
ЮРИЙ	Да, граф. Он познакомился с Лизой в столице, влюбил ее в себя и собирался на ней жениться, а кузина оказалась не прочь бросить учебу и выйти замуж.
КРЕМНЕВА	И это знали все кроме меня?
ШУШКИНА	Катерина Ивановна…
КРЕМНЕВА	Молчать! Продолжай, Юрий.
ЮРИЙ	Затем Лиза решила приехать вместе с Бреховым сюда, чтобы сообщить о своем желании обручиться…
КРЕМНЕВА	Что же ее остановило?
ЮРИЙ	Федор Николаевич. У него был свой мотив, который он не собирался раскрывать.
