МУРОМЦЕВ	Что, девчонки, переполошились - налоговая? Контрольная закупка?
ПРОДАВЩИЦА 1	Если бы! Тут у нас… типа покупают…виртуальный покупатель.
ВЕНЯ	Девушка, вот этот у вас - с ромовой пропиткой?
ПРОДАВЩИЦА 1	Да! А вот это «чиз-кэйк». Сэр…
ВЕНЯ	Да-да, я знаю - сырный торт… Знаете, я все-таки предпочитаю продукцию отечественного производителя. Дайте мне вот этот тортик, с ромом.
ПРОДАВЩИЦА 1	Девятьсот девяносто рублей!
ВЕНЯ	Уж назначали бы цену сразу в тысячу!
ПРОДАВЩИЦА 1	Тогда брать будут меньше…
ВЕНЯ	Шутите! Из-за разницы в десять рублей?
ПРОДАВЩИЦА 1	Да. Это же - психология. Аж целую «штуку» за торт - дорого, а так - дороговато, но… терпимо.
ВЕНЯ	Что-то я никого не вижу в отделе сыров и колбас!
ПРОДАВЩИЦА 1	Девочки! У нас - покупатель! Вот ведь, попрятались… Давайте, я вам сама отпущу.
ВЕНЯ	Салями, с присыпкой… Да, вот эту… Один батон. Вы знаете, почему-то все говорят «палку колбасы», хотя правильнее - «батон»… м-да… И вот этот сыр, «рокфор».
ПРОДАВЩИЦА 1	Отрезать?!
ВЕНЯ	Нет, я весь кусок возьму.
ПРОДАВЩИЦА 1	Две тысячи четыреста.
ВЕНЯ	Да-да, конечно…
ПРОДАВЩИЦА 1	Двенадцать тысяч пятьсот сорок рублей!
ВЕНЯ	Вы ведь кредитные карточки принимаете?
ПРОДАВЩИЦА 1	Еще как принимаем!
