Лёвка	Я люблю раков!
Арье-Лейб	Рак - это не жаба.
Боярский	Вы простите меня, мосье Крик, если я скажу вам, что еврей не должен уважать раков. Это я говорю вам замечание из жизни. Еврей, который уважает раков, может позволить себе с женским полом больше, чем себе надо позволять, он может сказать сальность за столом, и если у него бывают дети, так на сто процентов выродки и бильярдисты. Это я вам сказал замечание из жизни. Теперь выслушайте историю про еврея-нахала…
Беня	Боярский!
Боярский	Я.
Беня	Прикинь мне, Боярский, на скорую руку, во что мне обойдётся зимний костюм прима?
Боярский	Двубортный, однобортный?
Беня	Однобортный.
Боярский	Фалды вы себе мыслите - круглые или отрезанные?
Беня	Фалды круглые.
Боярский	Сукно ваше или моё?
Беня	Сукно твоё.
Боярский	Какой товар вы себе рисуете - английский, лодзинский или московский?
Беня	Какой лучше?
Боярский	Английское сукно, мосье Крик, это хорошее сукно, лодзинское сукно - это дерюга, на которой что-то нарисовано, а московское сукно - это дерюга, на которой ничего не нарисовано.
Беня	Возьмём английское.
Боярский	Доклад ваш или мой?
Беня	Доклад твой.
Боярский	Сколько вам обойдётся?
Беня	Сколько мне обойдётся?
