Там же	В Тени Забвения. Стиль и Талант.
Талант	Стоп! Не сдвинусь больше с места!
Стиль	Слушай, сын! Настало время поведать о печальной участи моей!
Талант	А Призрак Коммунизма страдал ведь меньше, бедный мой отец?
Стиль	Он вовсе не страдал… Но я!.. Талант, ты должен отомстить!
Талант	Ну что за проза! Кому?
Стиль	Кому-кому, дяде твоему!
Талант	Ты вроде раньше сериалы не любил…
Стиль	Молчать, мой глупый сын! Молчать и слушать!
Талант	Яволь!
Стиль	Ты не дерзи мне!
Талант	Yes, sir!
Стиль	Вот так-то лучше! Я дух родного твоего отца, на некий срок ски- таться осужденный ночной порой, а днем гореть в огне…
Талант	Сдается мне, отец, что это плагиат…
Стиль	Ну да, теперь я - Плагиат, и Гонорар, твой дядя, в этом виноват!
Талант	Мать моя Муза!
Стиль	И мать. Они задумали убийство, чтоб править вместе и деньги ог- ребать!
Талант	Убийство? Боевики я не люблю!
Стиль	А придется!
Талант	Я должен мать убить?
