Лена	Ты чему учишь?
Вера	Да достала уже. Она его старше. Люб, продолжай.
Люба	Оказывается, вместе с революцией, ну которую все знают, была другая. Всегда, во все времена женщин не во что не ставили. Были безправные. Особенно молодые деревенские девушки. Они, когда выходили замуж их отдавали в семью мужа и там.
Вера	Да тише ты. Сейчас работники проснутся. И что там?
Люба	Там свекры спокойно могли насиловать своих снох. Даже в народе термин ходил «Снохач».
Вера	Первый раз об этом слышу.
Люба	Было-было. Даже история была. Как в одной деревне, священник пытался поднять колокол на монастырь. Попросил помочь местных мужиков. Те пытались, но то веревки рвались, то балки ломались. ну священник говорит, мол среди вас грешники-снохочи, отступитесь от колокола.
Жанна	Ито?
Люба	А то все мужики отступились, остались только два немощных Бобыля.
Жанна	Фу, пердуны. Старые. Наливай давай.
Люба	Так вот. Мы всегда были собственностью мужа. И когда пришёл к власти Ленин он объявил «Бунт чувственности».
Вера	Чего?
Люба	То есть жена, у которой меньше 5 детей и младше 32 лет могла спать с разными мужчинами и ей ни чего за это не было.
Жанна	Эх, мне 38, я не попадаю.
Люба	Один мужчина мог встречаться с одной и той же женщиной, только 3 раза в неделю по 3 часа.
Жанна	Мм. 3 часа. Неплохо.
Люба	Была такая революционерка Коллонтай, ей наскучил быт, дом и она объявила про свободную любовь.
Вера	И какое это отношение к нам?
Люба	Да прямое. Наши тоже права ушемляют, только на дворе 21 век.
Вера	Но в принципе я до Валеры с кем хотела, с тем и встречалась.
