Персефона	Конечно.
Илья	Жаль, что мы стобой раньше не повстречались… Мертвая Роза!
Мертвая Роза	Но тебе бы пришлось тогда раньше умереть!
Илья	Да ну и что такого?! Подумаешь, жизнь… Я вообще разницы между жизнью и смертью не чувствую. Я ощутил лишь сам переход, моя смерть началась тогда, когда кончилась боль. Боль был действительно невыносима! Хотя рана вроде бы небольшая.
Мертвая Роза	Зато смертельная. Я тебе помогла немножко, что бы ты не мучался. Вот этим!
Илья	Что ж, выходит, что ты меня добила?
Мертвая Роза	Ну и что? Это же из любви!
Илья	А если бы я не умер? Если бы меня врачи выходили?
Мертвая Роза	Да кому ты был нужен? В той больнице, кудаты попал, ни аппаратов-то подходящих не было, ни медикаментов, нужно было в другую клинику, за огромные деньги. У тебя есть деньги?
Илья	Не особенно. Предприятие лопнуло, меня кинули.
Мертвая Роза	Вот видишь! Зачем же были нужны эти унижения? А я в тебя прямо там влюбилась, в больнице!
Илья	И ты меня ждала?
Мертвая Роза	Ждала, конечно. Только ты явился не один, чем меня несколько шокировал.
Илья	Ты что же, Светку обманула?
Мертвая Роза	Ей еще пожить надо. Тем более, что вы не пара, она тебя не понимает. А здорово я про кошку придумала?
Илья	Она хотела пусть даже кошкой, но лишь бы со мной.Она любила меня…
Мертвая Роза	Мне эти мертвые розы дороги так же как тебе! Как же она могла убить то, что тебе дорого?
Илья	Да… Да! Я люблю тебя, Мертвая Роза!
