Флора	Может он и осознал, но букет принесли для Дианы.
Изольда	Опять ей?!
Диана	Пятый веник за это утро. Лучше бы уж чего- нибудь по-практичней дарили.
Изольда	И от кого же это?
Диана	От анонима.
Изольда	Ну почему все эти анонимы - пролетают мимо меня?
Диана	Тетушка, вы слышали какие-то странные звуки сегодня ночью?
Изольда	Что-то неприличное?
Диана	Как-будто кто-то скулил. И так жалобно, протяжно… Жуть!
Изольда	Неужели так громко?… Нет, нет, я спала, как убитая.
Диана	А может показалось? После того, как меня массово осадили поклонники, в голове постоянно какие-то голоса.
Изольда	Наверное, это так приятно: сладкие дифирамбы в исполнении мужского хора.
Диана	Кошачьи вопли!
Изольда	Я, конечно, понимаю: ты молода и может быть кому-то нравишься, но мужчины как с ума посходили… Так и вертятся вокруг тебя, так и вертятся. Чем ты их так привлекаешь?
Диана	Они чувствуют запах… денег…
Изольда	А как же чувства? Любовь?
Диана	Вы тетя - сама наивность. Вроде бы солидная женщина, а не знаете, что деньги сейчас возбуждают гораздо сильнее.
Изольда	Да, я наверное глупая, наивная и старомодная. Но… Но я живая и настоящая! А не засушенная мумия с выхолощенными чувствами… Я… Я всё… Всё чувствую…
Диана	Вот, вот, точно так оно выло: жалобно и протяжно… Тётушка, так это были вы?
Изольда	Нет!… Это была моя истерзанная душа!
