Дочь	Ну как тут вообще?
Алексеева	Как? Да просто кошмар! Вот этот - фашист, этот считает себя юмористом, этот вообще одинокий.
Витюшкин	Я не одинокий! У меня есть сын Кергиенко: Да? Где он?
Собакин	И почему мы его никогда не видели?
Витюшкин	Он много работает Алексеева: Так много, что не навещает умирающего отца?
Кергиенко	Просто Витюшкин слишком долго умирает. Не наездишься…
Витюшкин	Мой сын меня любит, просто мы в ссоре. Опусти меня Собакин: Твой сын говно, если он у тебя есть Витюшкин: опусти меня, я не хочу разговаривать!
Алексеева	А я вообще считаю, что, если дети выросли плохими и беспринципными, это целиком вина родителей.
Лена	Я тоже так считаю. У меня вот тоже муж долго умирает , но я же к нему хожу…
Алексеева	Моя дочь ходит ко мне в каждую больницу, и это целиком моя заслуга. Ты, кстати, сидишь на диете? По-моему ты поправилась…
Собакин	Мой сын тоже ко мне ходит…
Витюшкин	Ага! А где вот твоя дочь?
Собакин	У нее муж пьет, она не может его оставить.
Лена	Вот горе.
Кергиенко	А что она сидит и смотрит, как он пьет?
Собакин	У них дети!
Кергиенко	А! Ну это все объясняет. Если бы у меня были дети, я бы тоже пил.
Лена	Ты бы не пил. А из-за чего вы поссорились с сыном?
Витюшкин	Почему я должен вам рассказывать?
Лена	Мне просто искренне интересно, а потом они все равно от вас не отстанут, пока вы не расскажете.
