Вера	Чего говорит? Ничего не понимаю.
Даша	А я так прямо прослезилась. Как на проповеди побывала, честное слово.
Илья	Не верю я ему.
Моисей	Бог дал русским людям души добрые, скромность и застенчивость сверх меры и начисто лишил их гордости. Христианство только усилило их безмерное послушание. А хорошо ли это, если разобраться? Нет, нехорошо…
Даша	А вы попом не работали случаем? Не работали вы…
Моисей	Нет.
Илья	Вот, вот! Ему только проповедовать.
Моисей	Так вы, значит, были там?
Илья	Был. В Томских лагерях пять лет, десять - на Колыме.
Моисей	Много испытали?
Илья	Много чего.
Моисей	Историю свою мне расскажете?
Илья	Расскажу, чего мне скрывать. Мне скрывать нечего. Расскажу всё как есть. И про то, как мы вертолет разобрали, который возле села упал. И про то, как мы с Иваном Голенищиным в Аркуль ездили и напились там до полусмерти. Всё расскажу. Мне скрывать нечего.
Моисей	Только, знаете…, я эту книгу буду издавать за свой счет. Время сейчас такое. Трудно всем.
Илья	Это не мое дело. Как ты её будешь издавать.
Моисей	Вы меня не поняли… Как бы попроще вам это объяснить…
Илья	Что ещё?
Моисей	Одна страница в моей книге будет стоит примерно пятьсот рублей.
