Рассказчик	В одном маленьком городе, в одном маленьком доме, жила не такая уж маленькая семья. И одним из самых маленьких членов этой не маленькой семьи был мальчик по имени Карл. Карлу было шесть лет. Младше него в доме была только его сестра Сьюзи. Сьюзи было три, но разность в возрасте нисколько не мешала им играть вместе. Еще, у Карла был брат Джимми и сестра Ханна, они были двойняшками, ходили уже в третий класс и если играли с Карлом и Сьюзи, то только при большой необходимости. И то, в такие игры как «Кто быстрее соберет раскиданные игрушки» или «Кто больше конфет унесет из кухни». Странно, но Карл и Сьюзи всегда оставались победителями в этих играх. Так или иначе, наша семья, всех их вместе звали кстати, Петтерсоны, жила в любви, заботе и согласии, пока не произошел один случай.
Карл	Ну выбери уже какой-нибудь, мы же играть идем, а не в гости.
Ханна	Что я сделаю, если у меня нет нормального свитера?
Карл	Попроси у Санта Клауса, такой, чтобы тебе понравился.
Джим	Ага, если бы Санта еще существовал.
Джим	Нет, ну ладно малыши, но ты то!…
Карл	Как это не существует?!
Джим	Как, как?! Не существует и все тут.
Карл	Ага… Опять выдумал какую-то ерунду и за правду пытается выдать!
Джим	Да не выдумал я! Мне ребята в школе сказали.
Ханна	Ребята в школе… Хах! Тоже мне! Нашел кого слушать!
Джим	Да я вам правду говорю! Нету его! Я вам доказать могу!
Ханна	Хаха! Ну давай, попробуй.
Джим	Вот все говорят, что сани Санта Клауса везут олени по небу. А вот скажите мне тогда - почему никто никогда их не увидел и не сфотографировал?
Карл	Ну… может он очень высоко летает?
Джим	Выше самолетов? Выше самолетов, дорогой братик, не летает ничто! А если и летает, то только в космос, а в космосе, как известно, жизнь не-воз- мож-на!
Ханна	Оу… У Сьюзи опять леденец закончился…
Карл	Держи. Ханна!
