Дядя Ваня	Теперь мы точно его найдем. Это я в смысле про твоего внука…
Тамара Васильевна	Сутки ни о чем не беспокоились. Что ж теперь. Давайте что ли всем миром.
Сергей Васильевич	Ребенок - не иголка. Но все равно это надо как-то организовать.
Александр Сергеевич	Ты уже все организовал, что мог.
Сергей Васильевич	Шурик, я тебе уже все объяснил. Я не хотел тебе мешать развиваться, принуждать идти по моим стопам.
Виктор	Спасибо, если кто нам хочет помочь. А если кто-то здесь просто так болтается, для вида, лучше идите домой.
Цыган	Меня-то не прогоняйте. Я точно пацана видел.
Женщина	Вот он, по-моему, с ним и был.
Зинуша	Да-да, я тоже видела.
Цыган	Вы видели моего мальчика. Хотите, отдам вам цыганенка?
Сергей Васильевич	Давай мне.
Виктор	Ладно, не будем отвлекаться. Кто еще что знает? У кого какие мысли?
Тамара Васильевна	По подвалам надо посмотреть, где бомжи и наркоманы. Где еще ребенку прятаться?
Сергей Васильевич	Все повторяется через поколение.
Виктор	Что повторяется?
Сергей Васильевич	Мой правнук - такой же беспризорник, как и двое моих последних сыновей. Повторяется и все остальное… Витя, вот, где твоя супруга?
Тамара Васильевна	Шли бы вы домой, Сергей Васильевич, без вас головной боли хватает.
Сергей Васильевич	Я никуда не пойду, пока не найду моего правнука. Я всю жизнь теряю своих детей из-за бабских вывертов. Вот здесь сяду и буду сидеть.
Тамара Васильевна	Если поход по подвалам ничего не даст, то искать уже будет бесполезно. Это тогда уже до лета… а может, и до следующего.
Александр Сергеевич	Вить, ну давай пройдемся по подвалам. Только у меня ни одной живой батарейки.
