А	Летом 1916-го года Эфрона мобилизовали. В 1917-ом школа прапорщиков, а перед февральской революцией - Александровская военная академия генерального штаба. В апреле у Марины Цветаевой родилась вторая дочь - Ирина. 10 дней, которые потрясли мир. Цветаева осталась в Москве одна с двумя маленькими детьми. О муже ничего не знала. Сергей Яковлевич уехал на Дон в добровольческую армию.
С	Марина Ивановна, хотите службу?
М	Это мой квартирант, экс-коммунист, кротчайший и жарчайший.
С	Есть, видите ли, две: в банке и в наркомнаце. Первая - на Никольской, вторая - здесь. В здании первой Чрезвычайки.
М	Я?!
С	Не беспокойтесь, никто вас расстреливать не заставит, вы только будете переписывать.
М	Расстрелянных?
С	Ах, вы не хотите понять! Точно я вас в Чрезвычайку приглашаю. Там такие как вы и не нужны!
М	Вредны!
С	Это дом Чрезвычайки, Чрезвычайка ушла. Вы, наверное, знаете на углу Поварской и Кудринской, у Льва Толстого еще… дом?
М	Дом Ростовых? А учреждение как называется?
С	Наркомнац. Народный комиссариат по делам национальностей.
М	Какие же национальности, когда Интернационал?
С	О, больше чем в царские времена, уверяю вас! Так вот, информационный отдел при комиссариате…
М	Самое главное с первой секунды революции понять: все пропало! Тогда все легко!
М	Все рядком лежат - неразвесть межой.
