Мал	разб. Девчонка! Вот сейчас я её и поймаю. Стой!
Принцесса	Ой, стою!
Мр	Не смей разговаривать!
Принцесса	Не буду!
Мр	Не двигайся!
Принцесса	Я и не собираюсь.
Мр	Молчать!
Принцесса	Молчу…
Мр	И куда же ты направлялась?
Принцесса	Никуда. Просто брожу по лесу. Я очень несчастна и одинока.
МР	Тебя что, тоже не берут на разбой и охоту?
Принцесса	Нет, меня прогнал папа-король за то, что я целовалась со свинопасом.
МР	Так ты принцесса, что ли?
Пр	Да, я несчастная принцесса.
Мр	Вот это да! Первый раз вижу живую принцессу. А зачем ты с ним целовалась?
