Виктор	Вы клянётесь правду говорить?
Георгий	С правдой у меня роман особый. Жизнь я положил на поиск правды, и от правды никогда не отрекусь.
Арина	В ночь полёта Сатаны над миром, когда, отбросив вилы, черти рвали плоть людей рогами - где Вы были?
Георгий	Я в полнолуние ночи той, что последней должна была всему живому стать, бдил у изголовья каждого, кто лживому богатству единиц порядок в мире предпочтёт. И тут погас фонарь.
Арина	На улице погас фонарь?
Георгий	Так точно, будто чья-то воля загасила.
Арина	И что потом?
Георгий	Уж больно злая тьма окутала фонарь. Я подошёл проверить и увидел Вас там. Феликс бросился на Вас, но, от смертельного удара, грудью Вас закрыл рабочий. Феликс на глазах у меня ему глотку перегрыз, и в грудь ему вгрызался, как будто до сердца зубами лишь хотел добраться. Тогда достал я пистолет, в воздух выстрелил и приказал ему упасть.
Арина	Упал ли он?
Георгий	В прыжке упал на Вас, и Вами он закрылся, с куском мяса от чужой груди в зубах. Вы ударили его, ещё раз и ещё. Тогда он побежал. И с куском мяса не желал он расставаться.
Арина	Куда бежал он?
Отец Назар	Несущественно!
Арина	Неужели к господу?
Георгий	Если и к Господу, то не к тому, что воскресал. Скорее уж к тому, что живёт лишь раз. Он бежал в богатые кварталы. Но не добежал. Его Вы обогнали, и гневом своим к земле убийцу приковали.
Арина	У меня вопросов больше нет.
Отец Назар	У меня вопрос есть. Ведь как же так совпало - фонарь таинственно погас, и под ним сразу трое оказались! А ну как жертв под ним случайных обстоятельств было меньше двух?
Георгий	Не меньше, и не больше. Ровно две. Глаза мои всему свидетель.
Отец Назар	Как нам знать, что вы не лжёте? Ведь у вас же связь с обвинителем была? А значит, был у вас двоих мотив подсудимого перед Фемидой без одежд оставить.
Георгий	У меня с ней и сейчас есть связь, священней связь, чем ваши мелкие умы способны охватить. Она святая, святой учеником мне быть награда.
Отец Назар	Но ведь не только ученик, не так ли?
