Утро	Жирардо сидит в кресле. Входит Валерий, в руках у него все тот же кот.
ВАЛЕРИЙ	Доброе утро, Анни! Я принес вам кота.
АННИ	Что вы, у меня нет никакого кота!
ВАЛЕРИЙ	Вы ошибаетесь, Анни, вот он.
АННИ	А вы… мы ведь с вами знакомы?
ВАЛЕРИЙ	Меня зовут Валери, я русский, ваша дочь Джулия наняла меня ухаживать за вами и помогать по хозяйству.
АННИ	Моя дочь?
ВАЛЕРИЙ	У Вас взрослая дочь, ее зовут Джулия, и двое чудесных внуков, Лола и Ренато.
АННИ	Ренато? Отчего-то меня странно волнует это имя…
ВАЛЕРИЙ	Ничего странного, так звали вашего мужа, итальянского актера Ренато Сальваторе. Вы любили его всю жизнь.
АННИ	Почему?
ВАЛЕРИЙ	Кто знает, почему мы любим и насколько долгой будет любовь?
АННИ	Мне кажется, я много любила в этой жизни, но совершенно забыла кого.
ВАЛЕРИЙ	Это не беда, Анни. Вы успели обо всех написать в своей последней книге.
АННИ	Надо же, какая я предусмотрительная! Где эта книга? Прочтите мне про кого-нибудь!
ВАЛЕРИЙ	Даже не знаю, с кого начать… Ваша жизнь - настоящий фейерверк! Столько великих людей, ярких событий. Знаете, я вчера начал читать и не смог оторваться, так и просидел до самого утра, пока будильник не прозвонил. Я даже пожалел, что не стал актером. Тогда бы не пришлось унизительно бегать с одной пьяной вечеринки на другую, по- собачьи заглядывая знаменитостям в глаза.
